date,roi_card_rank,player,team,opponent,odds,pa_path_rank,pa_path_hit_probability,actual_hit,profit
2026-06-04,2,Fernando Tatis Jr.,SD,PHI,-229,6,0.7155,0,-1.0
2026-06-05,1,JJ Bleday,CIN,STL,-211,1,0.7381,1,0.47393364928909953
2026-06-05,2,James Wood,WSH,AZ,-238,2,0.7364,1,0.42016806722689076
2026-06-05,3,Carlos Cortes,ATH,HOU,-208,3,0.7346,0,-1.0
2026-06-05,4,Shea Langeliers,ATH,HOU,-244,4,0.7321,0,-1.0
2026-06-05,5,Luis Garcia,WSH,AZ,-223,9,0.7229,1,0.4484304932735426
2026-06-06,1,JJ Bleday,CIN,STL,-196,1,0.7386,1,0.5102040816326531
2026-06-06,2,Carlos Cortes,ATH,HOU,-223,2,0.738,1,0.4484304932735426
2026-06-06,3,Dane Myers,CIN,STL,-226,6,0.7253,1,0.4424778761061947
2026-06-06,4,Bobby Witt,KC,MIN,-241,9,0.7235,1,0.4149377593360996
2026-06-07,1,JJ Bleday,CIN,STL,-226,2,0.7344,0,-1.0
2026-06-07,2,James Wood,WSH,AZ,-216,5,0.7274,0,-1.0
2026-06-08,1,JJ Bleday,CIN,SD,-178,2,0.7356,1,0.5617977528089888
2026-06-08,2,James Wood,WSH,SF,-203,4,0.7292,1,0.49261083743842365
2026-06-08,3,Ben Rice,NYY,CLE,-214,6,0.7219,1,0.4672897196261682
2026-06-08,4,Kyle Schwarber,PHI,TOR,-215,7,0.717,1,0.46511627906976744
2026-06-08,5,Luis Garcia (WAS),MIN,SF,-232,8,0.7154,1,0.43103448275862066
2026-06-09,1,James Wood,WSH,SF,-243,3,0.7298,1,0.411522633744856
2026-06-09,2,JJ Bleday,CIN,SD,-170,4,0.7295,1,0.5882352941176471
2026-06-09,3,Ketel Marte,ARI,MIA,-202,5,0.7223,1,0.49504950495049505
2026-06-09,4,Sam Antonacci,CWS,ATL,-220,6,0.7213,1,0.45454545454545453
2026-06-09,5,Liam Hicks,MIA,AZ,-233,7,0.7192,1,0.4291845493562232
2026-06-10,1,JJ Bleday,CIN,SD,-149,5,0.7251,1,0.6711409395973155
2026-06-10,2,James Wood,WSH,SF,-209,7,0.7208,1,0.4784688995215311
2026-06-10,3,Ben Rice,NYY,CLE,-179,8,0.7201,1,0.5586592178770949
2026-06-11,1,Ketel Marte,ARI,MIA,-236,5,0.7192,1,0.423728813559322
2026-06-12,1,Sam Antonacci,CWS,LAD,-214,8,0.7253,1,0.4672897196261682
2026-06-12,2,Kevin McGonigle,DET,CLE,-225,10,0.7237,0,-1.0
2026-06-13,1,Ben Rice,NYY,TOR,-222,4,0.7315,1,0.45045045045045046
2026-06-13,2,Sam Antonacci,CWS,LAD,-182,7,0.7233,0,-1.0
2026-06-13,3,James Wood,WSH,SEA,-221,9,0.7217,1,0.45248868778280543
2026-06-14,1,Ben Rice,NYY,TOR,-219,2,0.7338,1,0.45662100456621
2026-06-14,2,Sam Antonacci,CWS,LAD,-203,6,0.7231,1,0.49261083743842365
2026-06-14,3,JJ Bleday,CIN,AZ,-242,8,0.7223,1,0.4132231404958678
2026-06-15,1,Kevin McGonigle,DET,HOU,-224,2,0.7257,1,0.44642857142857145
2026-06-15,2,Liam Hicks,MIA,PHI,-201,4,0.7199,1,0.4975124378109453
2026-06-15,3,Austin Martin,MIN,TEX,-197,5,0.7154,1,0.5076142131979695
2026-06-15,4,Otto Lopez,MIA,PHI,-245,6,0.7152,0,-1.0
2026-06-15,5,Moises Ballesteros,CHC,COL,-190,7,0.7142,0,-1.0
2026-06-16,1,Sam Antonacci,CWS,NYY,-188,2,0.7323,1,0.5319148936170213
2026-06-16,2,Mike Trout,LAA,AZ,-239,7,0.7246,1,0.41841004184100417
2026-06-16,3,Ben Rice,NYY,CWS,-240,8,0.7234,1,0.4166666666666667
2026-06-16,4,Kevin McGonigle,DET,HOU,-183,10,0.7184,1,0.546448087431694
2026-06-17,1,Yordan Alvarez,HOU,DET,-232,2,0.7312,1,0.43103448275862066
2026-06-17,2,Sam Antonacci,CWS,NYY,-124,3,0.7289,1,0.8064516129032258
2026-06-17,3,Kevin McGonigle,DET,HOU,-207,8,0.7221,1,0.4830917874396135
2026-06-17,4,Jeremy Pena,HOU,DET,-238,10,0.721,1,0.42016806722689076
2026-06-18,1,Sam Antonacci,CWS,NYY,-160,2,0.7324,1,0.625
2026-06-18,2,Carlos Cortes,ATH,LAA,-213,3,0.7323,0,-1.0
2026-06-18,3,Masyn Winn,STL,KC,-199,9,0.7161,1,0.5025125628140703
2026-06-19,1,Sam Antonacci,CWS,DET,-122,1,0.7341,1,0.819672131147541
2026-06-19,2,Carlos Cortes,ATH,LAA,-176,3,0.7311,0,-1.0
2026-06-19,3,Mickey Gasper,BOS,SEA,-153,4,0.7288,0,-1.0
2026-06-19,4,James Wood,WSH,TB,-216,6,0.7254,0,-1.0
2026-06-19,5,JJ Bleday,CIN,NYY,-155,7,0.7238,0,-1.0
2026-06-20,1,Yohendrick Piñango,TOR,CHC,-222,4,0.7268,0,-1.0
2026-06-20,2,JJ Bleday,CIN,NYY,-188,5,0.7263,1,0.5319148936170213
2026-06-20,3,James Wood,WSH,TB,-205,7,0.7226,1,0.4878048780487805
2026-06-20,4,Kevin McGonigle,DET,CWS,-233,9,0.7147,1,0.4291845493562232
2026-06-21,1,JJ Bleday,CIN,NYY,-194,2,0.7327,0,-1.0
2026-06-21,2,Sam Antonacci,CWS,DET,-241,4,0.73,0,-1.0
2026-06-21,3,Kevin McGonigle,DET,CWS,-245,10,0.7178,1,0.40816326530612246
2026-06-22,1,Yordan Alvarez,HOU,TOR,-221,1,0.7438,1,0.45248868778280543
2026-06-22,2,Griffin Conine,MIA,TEX,-208,4,0.7242,0,-1.0
2026-06-22,3,Ketel Marte,ARI,STL,-240,6,0.7205,1,0.4166666666666667
2026-06-22,4,Masyn Winn,STL,AZ,-225,7,0.7203,1,0.4444444444444444
2026-06-22,5,Sam Antonacci,CWS,CLE,-187,8,0.7199,1,0.5347593582887701
2026-06-23,1,Sam Antonacci,CWS,CLE,-127,3,0.7279,0,-1.0
2026-06-23,2,Drake Baldwin,ATL,SD,-223,5,0.7271,0,-1.0
2026-06-23,3,Nico Hoerner,CHC,NYM,-200,7,0.7213,1,0.5
2026-06-23,4,J.P. Crawford,SEA,PIT,-237,9,0.719,1,0.4219409282700422
2026-06-24,1,Yordan Alvarez,HOU,TOR,-218,1,0.7443,0,-1.0
2026-06-24,2,Ben Rice,NYY,DET,-188,5,0.7264,1,0.5319148936170213
2026-06-24,3,Paul Goldschmidt,NYY,DET,-224,6,0.7259,1,0.44642857142857145
2026-06-24,4,Sam Antonacci,CWS,CLE,-216,8,0.72,1,0.46296296296296297
2026-06-24,5,Jeremy Pena,HOU,TOR,-217,10,0.7192,1,0.4608294930875576
2026-06-25,1,Ben Rice,NYY,BOS,-237,4,0.7231,0,-1.0
2026-06-25,2,Nico Hoerner,CHC,NYM,-219,7,0.7195,0,-1.0
2026-06-25,3,Michael Conforto,CHC,NYM,-143,8,0.7151,1,0.6993006993006993
2026-06-25,4,Kevin McGonigle,DET,HOU,-219,9,0.7151,1,0.45662100456621
2026-06-25,5,J.P. Crawford,SEA,PIT,-215,10,0.7088,1,0.46511627906976744
2026-06-26,1,Griffin Conine,MIA,STL,-211,2,0.7308,1,0.47393364928909953
2026-06-26,2,James Wood,WSH,BAL,-243,4,0.7239,1,0.411522633744856
2026-06-26,3,Andy Pages,LAD,SD,-211,5,0.7225,1,0.47393364928909953
2026-06-26,4,Kevin McGonigle,DET,HOU,-224,8,0.7163,1,0.44642857142857145
2026-06-26,5,Jake McCarthy,COL,MIN,-202,10,0.7123,1,0.49504950495049505
2026-06-27,1,Nico Hoerner,CHC,MIL,-200,9,0.719,1,0.5
2026-06-27,2,J.P. Crawford,SEA,CLE,-201,10,0.7187,0,-1.0
2026-06-28,1,Ben Rice,NYY,BOS,-245,3,0.7308,0,-1.0
2026-06-28,2,Sam Antonacci,CWS,KC,-230,7,0.725,1,0.43478260869565216
2026-06-29,1,Elly De La Cruz,CIN,MIL,-212,2,0.723,1,0.4716981132075472
2026-06-29,2,Dillon Dingler,DET,NYY,-241,4,0.7223,1,0.4149377593360996
2026-06-29,3,James Wood,WSH,BOS,-213,5,0.7219,1,0.4694835680751174
2026-06-29,4,Ben Rice,NYY,DET,-243,7,0.7172,0,-1.0
2026-06-29,5,Miguel Vargas,CWS,BAL,-230,8,0.7168,1,0.43478260869565216
2026-06-30,1,Yordan Alvarez,HOU,MIN,-243,1,0.7298,1,0.411522633744856
2026-06-30,2,Elly De La Cruz,CIN,MIL,-241,2,0.723,1,0.4149377593360996
2026-06-30,3,Josh Jung,TEX,CLE,-228,4,0.721,1,0.43859649122807015
2026-06-30,4,Kevin McGonigle,DET,NYY,-197,5,0.7196,1,0.5076142131979695
2026-06-30,5,Dillon Dingler,DET,NYY,-172,6,0.7154,1,0.5813953488372093
2026-07-01,1,Elly De La Cruz,CIN,MIL,-204,4,0.7211,1,0.49019607843137253
2026-07-01,2,Dillon Dingler,DET,NYY,-226,6,0.7179,1,0.4424778761061947
2026-07-01,3,Sal Stewart,CIN,MIL,-218,7,0.7115,1,0.45871559633027525
2026-07-01,4,Brice Turang,MIL,CIN,-215,8,0.7109,1,0.46511627906976744
2026-07-01,5,Ivan Herrera,STL,ATL,-233,9,0.709,1,0.4291845493562232
2026-07-02,1,Kevin McGonigle,DET,TEX,-212,4,0.7288,1,0.4716981132075472
2026-07-02,2,Dillon Dingler,DET,TEX,-216,7,0.7248,1,0.46296296296296297
2026-07-03,1,Sam Antonacci,CWS,CLE,-219,3,0.7306,0,-1.0
2026-07-03,2,Drake Baldwin,ATL,NYM,-240,8,0.7166,0,-1.0
2026-07-03,3,Nathan Lukes,TOR,SEA,-244,9,0.715,0,-1.0
2026-07-03,4,Miguel Vargas,CWS,CLE,-215,10,0.7101,1,0.46511627906976744
2026-07-04,1,Yordan Alvarez,HOU,TB,-232,2,0.7324,1,0.43103448275862066
2026-07-04,2,Sam Antonacci,CWS,CLE,-168,4,0.7283,0,-1.0
2026-07-04,3,Kevin McGonigle,DET,TEX,-221,6,0.7263,0,-1.0
2026-07-04,4,Fernando Tatis Jr.,SD,LAD,-241,10,0.7182,1,0.4149377593360996
2026-07-05,1,Carlos Cortes,ATH,MIA,-164,5,0.7281,1,0.6097560975609756
2026-07-05,2,Vladimir Guerrero Jr.,TOR,SEA,-238,10,0.7201,1,0.42016806722689076
